Image names,Worm 1 (blue) integrated Intensity,Worm 2 (teal) integrated Intensity,Worm 3 (green) integrated Intensity,Worm 4 (yellow/red) integrated Intensity,Worm 5 (orange) integrated Intensity,Worm 1 (blue) integrated Area,Worm 2 (teal) integrated Area,Worm 3 (green) integrated Area,Worm 4 (yellow/red) integrated Area,Worm 5 (orange) integrated Area
OP341_EV_D4_1,18680,281142,105601,91539,79147,5883,55812,18026,14272,13019
OP341_EV_D4_2,97398,113195,104241,90928,91572,11580,15955,13076,11171,11588
OP341_EV_D4_3,77874,107487,104447,100509,93789,11429,13807,14874,13195,13014
OP341_gsk-3_D4_1,59682,69527,71276,66002,70012,10398,11177,10090,10699,10800
OP341_gsk-3_D4_2,79351,75956,66727,77990,58828,11693,12065,10512,11868,10369
OP341_gsk-3_D4_3,54655,72106,67007,59290,59440,9579,11742,11416,9728,10223
OP341_pmk-1_D4_1,77821,84676,94066,86821,77315,13165,13836,14137,12994,12317
OP341_pmk-1_D4_2,103056,86901,108392,75672,80782,14325,13980,14716,11917,12216
OP341_pmk-1_D4_3,673069,89488,22753,96712,75579,192231,14485,6003,16604,12594
OP341_skn-1_D4_1,67357,53958,64524,71146,60633,11691,9930,11213,12212,10925
OP341_skn-1_D4_2,69401,68120,67888,67950,68599,11311,10732,11588,11279,11594
OP341_skn-1_D4_3,68519,67866,67708,67049,73961,12163,11788,12956,12522,12693
OP341_wdr-23_D4_1,87318,89305,90982,82865,78823,12286,12202,12781,11620,11645
OP341_wdr-23_D4_2,102348,80244,86362,102473,78328,14070,12138,12535,14256,11428
OP341_wdr-23_D4_3,103119,77784,78203,74622,80416,12854,10179,10524,10792,11076
SUN09_EV_D4_1,218488,229268,230623,206890,239808,11451,10850,11668,10934,11363
SUN09_EV_D4_2,219234,245033,249227,223413,226305,11172,11752,11951,11605,11068
SUN09_EV_D4_3,39498,36038,45961,48766,58585,10450,9912,10881,11047,10884
SUN09_gsk-3_D4_1,224378,220922,209759,200419,173195,11767,11554,11341,10780,10185
SUN09_gsk-3_D4_2,223376,169590,209878,233895,226868,12227,10080,10393,11931,11522
SUN09_gsk-3_D4_3,217651,194559,218778,167963,162142,10413,10492,11081,10413,9842
SUN09_hif-1_D4_1,210907,242246,238478,232320,215672,11032,12087,11145,11379,11069
SUN09_hif-1_D4_2,228464,180097,234097,169570,178356,11128,10477,11926,10211,10461
SUN09_hif-1_D4_3,194642,206659,214676,200662,177020,10270,10192,11670,10357,9693
SUN09_pmk-1_D4_1,204336,186391,230143,203958,212324,11809,11044,12233,11566,11857
SUN09_pmk-1_D4_2,215909,206042,167933,174711,214266,11861,11508,10675,10288,11904
SUN09_pmk-1_D4_3,162244,184334,174473,216878,190946,11446,11362,10589,12276,11983
SUN09_rhy-1_D4_1,192112,180903,221746,193528,189120,10780,10142,12128,10494,10008
SUN09_rhy-1_D4_2,195957,145545,191826,189975,183375,11623,11461,10738,10704,10742
SUN09_rhy-1_D4_3,202454,157622,189996,195292,148743,11349,9816,10858,11745,10179
SUN09_skn-1_D4_1,162996,207677,172650,205487,203281,10940,11763,10383,11926,11096
SUN09_skn-1_D4_2,162533,95728,182249,80646,163614,8469,6011,9245,5154,8665
SUN09_skn-1_D4_3,298023,153654,162461,212167,160609,13781,9365,10749,10634,9962
SUN09_vhl-1_D4_1,210355,178707,136082,222392,226920,10577,9776,10392,10983,10760
SUN09_vhl-1_D4_2,230345,207218,225371,179761,239056,10904,10408,10483,10702,11203
SUN09_vhl-1_D4_3,200822,185179,184513,242114,180653,10258,10727,10786,11769,11314
SUN09_wdr-23_D4_1,181939,173747,117372,175552,114475,11949,11771,10960,11232,10345
SUN09_wdr-23_D4_2,161413,208843,163354,166782,173227,11026,12300,11269,10776,10949
SUN09_wdr-23_D4_3,133725,158152,170390,154389,154732,9076,10125,10705,9911,10177
SUN10_EV_D4_1,566194,389372,655977,524155,526254,13373,10582,13659,13443,13747
SUN10_EV_D4_2,587721,731259,668068,740947,615293,12959,14510,12173,13566,13534
SUN10_EV_D4_3,311434,605415,840958,717335,383388,10786,12458,13609,13196,11657
SUN10_gsk-3_D4_1,263622,618055,411861,698937,623925,9515,13579,10793,12557,12429
SUN10_gsk-3_D4_2,358653,446171,417833,841879,381567,12166,11890,11413,14252,10998
SUN10_gsk-3_D4_3,545049,666634,625939,417214,340290,12792,14053,13311,11535,11034
SUN10_hif-1_D4_1,566289,455353,591447,853591,594505,12020,10964,12801,14175,12819
SUN10_hif-1_D4_2,598546,679993,586568,536974,666124,12385,13673,12518,12209,12331
SUN10_hif-1_D4_3,590306,617562,661413,339258,562190,12921,13342,13614,12321,12586
SUN10_pmk-1_D4_1,674396,686831,662370,695378,682386,13715,13292,13751,13660,13625
SUN10_pmk-1_D4_2,759246,711509,714708,617511,689491,13656,13316,14068,14318,13877
SUN10_pmk-1_D4_3,657983,390295,511606,734390,566276,14661,13762,13433,13406,14495
SUN10_rhy-1_D4_1,459294,356291,475353,398399,353124,12661,11934,12873,11852,10669
SUN10_rhy-1_D4_2,394335,423267,370003,460121,395137,12084,12637,12651,13548,12075
SUN10_rhy-1_D4_3,419140,463094,449277,384183,373884,13930,13168,14174,12551,12626
SUN10_skn-1_D4_1,333022,540296,560969,506789,512065,12160,12350,12944,12852,12112
SUN10_skn-1_D4_2,388438,537475,493887,445138,443479,11298,11716,12184,12373,11271
SUN10_skn-1_D4_3,470877,354885,548413,454622,615876,12502,11891,13624,12752,13161
SUN10_vhl-1_D4_1,561094,453584,428396,460017,520172,11876,12304,11506,12301,12151
SUN10_vhl-1_D4_2,515013,436659,483493,216582,471958,12426,12548,12997,9627,12613
SUN10_vhl-1_D4_3,468235,569765,509907,601494,359434,13367,13322,12821,13282,11890
SUN10_wdr-23_D4_1,402306,279501,382189,342967,351622,12797,11296,12364,12253,11703
SUN10_wdr-23_D4_2,345720,374163,398692,400253,412530,11648,11232,12632,12906,12388
SUN10_wdr-23_D4_3,313642,333092,272457,302547,286384,12682,12286,12544,11941,11898
WS4274_EV_D4_1,1724984,18881,29039,0,0,531593,5284,10047,0,0
WS4274_EV_D4_2,54844,51863,58689,55522,58345,9888,9530,10107,9962,10024
WS4274_EV_D4_3,817700,60126,62357,19356,0,224985,11720,10912,6041,0
WS4274_hif-1_D4_1,57244,64501,64172,67242,55573,9669,10389,10551,10669,9272
WS4274_hif-1_D4_2,72070,65449,62852,61256,56747,10801,10625,10175,9805,9560
WS4274_hif-1_D4_3,61247,68078,69425,60419,62061,10289,11181,11446,10558,10319
WS4274_rhy-1_D4_1,77914,71220,74573,67191,74306,11439,10712,11153,10441,11074
WS4274_rhy-1_D4_2,93091,69902,65554,82459,79742,12763,10320,9635,11274,11586
WS4274_rhy-1_D4_3,930620,71786,63341,77660,0,325083,15834,12440,16924,0
WS4274_vhl-1_D4_1,52191,52964,54997,50006,50008,9272,9429,9976,9144,9074
WS4274_vhl-1_D4_2,97757,54163,66723,55371,46765,19419,10058,11772,10382,8991
WS4274_vhl-1_D4_3,61584,56602,62405,67169,57384,10768,10267,10236,11349,9944
OP341_EV_D7_1,174162,145431,164740,137881,165283,17548,15630,16399,14527,16566
OP341_EV_D7_2,150748,175694,139502,131672,131710,16574,17243,14259,14536,14354
OP341_EV_D7_3,157048,183242,182547,186480,142670,13536,17446,14471,15659,14411
OP341_gsk-3_D7_1,104851,99255,93551,87852,92180,13368,13133,12204,12058,12140
OP341_gsk-3_D7_2,130629,118604,106874,101237,94250,14320,13852,13461,13236,11998
OP341_gsk-3_D7_3,102690,79925,101906,97376,102644,11715,10127,11887,11016,11590
OP341_pmk-1_D7_1,139932,154781,181185,168290,134241,14180,16288,17944,17911,14701
OP341_pmk-1_D7_2,201127,196121,277835,129834,178624,20557,18222,16260,14024,17156
OP341_pmk-1_D7_3,99504,133985,127157,113284,104489,11758,13380,14450,12192,13099
OP341_skn-1_D7_1,101680,101154,79039,108702,83345,15353,16022,12071,15373,13651
OP341_skn-1_D7_2,94780,165698,116619,100497,87404,17189,33757,21364,18112,15184
OP341_skn-1_D7_3,89187,107148,99025,118361,98965,14218,15418,14637,17402,15092
OP341_wdr-23_D7_1,105786,106552,113575,99512,108360,12362,12641,12686,12376,12722
OP341_wdr-23_D7_2,175487,142421,135164,143914,158147,15154,13761,12823,13089,14339
OP341_wdr-23_D7_3,117320,104738,122567,121958,108582,13382,11016,12716,12308,11773
SUN09_EV_D7_1,337954,316842,317948,359913,316980,15029,14606,12645,14603,13648
SUN09_EV_D7_2,314991,317842,376407,324790,341815,14308,14217,15873,14362,14069
SUN09_EV_D7_3,336548,296551,311104,325347,336805,14153,15178,14339,14316,14428
SUN09_gsk-3_D7_1,217652,332289,339666,315308,267919,12816,14136,14701,13737,12394
SUN09_gsk-3_D7_2,215732,153012,258127,312837,254055,13228,9948,13260,13736,12903
SUN09_gsk-3_D7_3,237566,272502,175522,270146,188357,13270,12557,11408,11348,11402
SUN09_hif-1_D7_1,325464,353313,316362,309919,253116,14374,14617,12872,13883,13032
SUN09_hif-1_D7_2,326931,332082,230288,288778,292192,14512,14498,13229,13863,13512
SUN09_hif-1_D7_3,289008,310507,330376,311378,313260,14256,15438,15589,14058,14107
SUN09_pmk-1_D7_1,352742,291007,312133,316584,309982,14790,12769,14522,13006,14240
SUN09_pmk-1_D7_2,223281,270819,350269,316138,335152,13040,12652,13785,13819,13904
SUN09_pmk-1_D7_3,323118,256591,313325,222112,220997,14131,12197,14456,12237,12718
SUN09_rhy-1_D7_1,243988,223345,208208,227603,248509,13543,12117,12826,13508,12741
SUN09_rhy-1_D7_2,269582,210499,244337,253033,158446,14414,15172,14823,14650,13614
SUN09_rhy-1_D7_3,242788,223430,198345,262853,256825,12768,13397,14227,13910,12670
SUN09_skn-1_D7_1,359667,355432,286363,224735,276764,13766,15058,13292,11523,12777
SUN09_skn-1_D7_2,287503,319685,344589,332210,321867,11582,12022,12781,12668,12161
SUN09_skn-1_D7_3,319240,308700,279206,280902,244286,14486,13936,13445,13111,13703
SUN09_vhl-1_D7_1,333525,316045,312397,366973,363378,12228,12771,12763,13043,12654
SUN09_vhl-1_D7_2,352915,380838,377812,207359,364662,12837,15916,14633,13458,13839
SUN09_vhl-1_D7_3,435770,448918,384931,389677,331476,14410,15266,13713,13407,12943
SUN09_wdr-23_D7_1,229525,247685,258616,214121,241512,13856,13984,14512,12173,13819
SUN09_wdr-23_D7_2,218257,260369,252512,231666,237352,12577,14484,13797,12771,13634
SUN09_wdr-23_D7_3,235961,214038,224453,260583,229682,13040,12039,13261,13525,13061
SUN10_EV_D7_1,1132843,1181044,1082982,1192456,1063098,15253,15082,15058,14528,15210
SUN10_EV_D7_2,1106914,1021322,829888,1076971,1302943,14733,14342,13875,14419,16154
SUN10_EV_D7_3,1141188,1009381,1086675,1263653,758472,14818,14769,14612,15853,13172
SUN10_gsk-3_D7_1,876225,978452,665808,657662,1044891,14047,14768,12161,12843,14244
SUN10_gsk-3_D7_2,880681,1110168,403086,873072,1131940,15723,15828,12441,13673,15476
SUN10_gsk-3_D7_3,427528,512654,849705,1393435,936776,11317,11996,14620,16443,15311
SUN10_hif-1_D7_1,1139190,1073185,1331771,1131803,1048489,15786,14014,14798,14699,13521
SUN10_hif-1_D7_2,941534,1188779,1006646,1276562,1161053,14043,14640,14120,15577,14279
SUN10_hif-1_D7_3,1048344,918501,1199226,1090569,1104340,16463,14361,14740,14989,14988
SUN10_pmk-1_D7_1,1059527,1215347,1101285,1287065,1180740,12948,15754,14251,15224,14575
SUN10_pmk-1_D7_2,1075004,1259867,1216350,1155521,1042415,15027,15998,15359,14618,14029
SUN10_pmk-1_D7_3,886202,1277004,1151366,1304447,1356421,14380,15238,14566,15794,15293
SUN10_rhy-1_D7_1,657687,603336,632843,585618,542462,15117,13908,14081,14581,14384
SUN10_rhy-1_D7_2,603785,620182,564766,587981,639302,15222,14740,14095,13722,14518
SUN10_rhy-1_D7_3,619424,636537,629255,658480,628209,14002,14535,13955,14387,14334
SUN10_skn-1_D7_1,1115968,1022489,1335772,1138297,1195918,14853,14976,15855,13633,13820
SUN10_skn-1_D7_2,1214535,1226065,1204830,1148590,1207299,14111,15361,14776,14408,14549
SUN10_skn-1_D7_3,1241477,1184754,1047186,1162202,967822,14856,15543,13977,14106,13664
SUN10_vhl-1_D7_1,772713,796109,628216,789577,612869,13923,14683,13798,13895,12863
SUN10_vhl-1_D7_2,780297,647409,663658,707729,790488,16587,13393,13462,13638,15124
SUN10_vhl-1_D7_3,830898,560014,757929,691300,793966,14433,13795,14085,14395,14447
SUN10_wdr-23_D7_1,626309,494667,657082,610798,523198,14186,12627,14145,14063,13052
SUN10_wdr-23_D7_2,614757,550973,644084,655235,586122,14139,12888,14512,13632,13481
SUN10_wdr-23_D7_3,535064,668602,572070,683315,598503,13648,14389,13833,14386,13681
WS4274_EV_D7_1,94123,93098,82303,88935,82311,12087,11523,11244,11924,11336
WS4274_EV_D7_2,104151,112945,102491,100536,85977,13191,15791,13702,12330,11464
WS4274_EV_D7_3,119347,95214,96920,112473,85702,14110,12377,12684,14036,10932
WS4274_hif-1_D7_1,77971,81004,65309,76476,71961,11621,11704,10411,10898,10707
WS4274_hif-1_D7_2,86686,87078,81513,81039,81761,12068,12494,11718,12138,11559
WS4274_hif-1_D7_3,74688,66645,74012,68586,69984,9758,8900,9182,9385,9176
WS4274_rhy-1_D7_1,84787,108611,91367,66609,81297,11260,12776,11825,9271,9922
WS4274_rhy-1_D7_2,100611,87872,80448,67510,92876,13506,11717,11360,10842,12190
WS4274_rhy-1_D7_3,87288,97587,84840,84417,94369,10761,10983,10365,10682,13060
WS4274_vhl-1_D7_1,71409,70271,78283,65234,63990,11435,11391,11870,10546,10725
WS4274_vhl-1_D7_2,86623,62845,75065,77340,69948,13542,9320,11132,11432,10866
WS4274_vhl-1_D7_3,77824,59539,153151,80276,68316,11665,10199,21237,12818,10517
OP341_EV_D14_1,236470,162002,157621,129629,139869,24394,13844,11843,13119,13306
OP341_EV_D14_2,283050,216060,213866,194202,152086,20081,14046,15630,14697,12573
OP341_EV_D14_3,216131,196050,154634,215848,197358,15524,13269,12818,16404,14470
OP341_gsk-3_D14_1,147674,195638,257665,255827,83234,14987,17087,14443,16322,10184
OP341_gsk-3_D14_2,377587,249280,140552,94231,325722,14122,13734,13563,11056,14729
OP341_gsk-3_D14_3,112351,56083,396075,222104,320460,9974,7262,13860,14819,13786
OP341_pmk-1_D14_1,138377,177126,183055,178181,214546,15531,13929,14203,14027,15851
OP341_pmk-1_D14_2,173882,242337,240633,249365,237009,11211,14472,14248,14300,10750
OP341_pmk-1_D14_3,182627,249346,184435,172481,154840,14630,14861,13546,11044,12617
OP341_skn-1_D14_1,117702,116484,113865,92492,99437,12421,12115,11731,10253,10513
OP341_skn-1_D14_2,119425,114187,139302,122846,121429,11627,11329,13561,12416,13517
OP341_skn-1_D14_3,132290,130996,128959,118713,104179,12098,11513,13940,12608,12631
OP341_wdr-23_D14_1,149722,153233,133969,135187,154536,13173,12145,11535,11726,12728
OP341_wdr-23_D14_2,157324,186857,189461,178535,149351,14986,18042,21201,14881,13317
OP341_wdr-23_D14_3,119963,160126,99947,115506,146138,9781,10798,8786,8967,10214
SUN09_EV_D14_1,266308,312021,238729,302801,257163,15012,15567,14306,16336,15346
SUN09_EV_D14_2,266242,353341,345303,323027,208306,16453,19247,17824,17601,13666
SUN09_EV_D14_3,324180,348084,208299,270252,255611,18167,19792,14952,14523,19394
SUN09_gsk-3_D14_1,150702,170291,114787,162529,163489,10425,11755,9223,11063,10548
SUN09_gsk-3_D14_2,103623,138161,109909,79177,259793,9622,11060,9835,8568,15352
SUN09_gsk-3_D14_3,101831,150329,236995,235562,129109,9594,11054,15249,14274,10125
SUN09_hif-1_D14_1,278151,282299,263986,216480,303926,14790,16792,16989,13151,16116
SUN09_hif-1_D14_2,213423,192121,300630,271244,130080,13855,11985,15692,12526,11548
SUN09_hif-1_D14_3,300856,245384,165647,185966,225564,16960,15601,13568,13544,15140
SUN09_pmk-1_D14_1,206853,193646,174746,199001,238827,14228,14615,15769,15703,15141
SUN09_pmk-1_D14_2,196754,189652,53656,163292,58489,12504,12706,3934,11580,4777
SUN09_pmk-1_D14_3,194141,239238,166967,224595,156022,14301,14803,12576,16083,10921
SUN09_rhy-1_D14_1,200150,250244,233339,226149,184990,13952,15696,14853,14993,13958
SUN09_rhy-1_D14_2,184589,217431,272928,205324,214549,13310,14613,17090,13451,13634
SUN09_rhy-1_D14_3,199769,237061,198272,286366,251810,13778,14293,14516,17292,15901
SUN09_skn-1_D14_1,283406,179570,170512,214883,134940,17430,13414,14265,14294,13343
SUN09_skn-1_D14_2,211841,215243,243568,239323,176377,14439,15570,15554,15881,14345
SUN09_skn-1_D14_3,198033,232242,181552,184494,176086,15222,16042,14056,14469,13363
SUN09_vhl-1_D14_1,306234,430512,215900,381426,252427,14523,18670,14232,15994,14088
SUN09_vhl-1_D14_2,434501,359660,346546,401506,279964,15966,15639,14170,14966,14295
SUN09_vhl-1_D14_3,337735,306131,412754,334797,379497,15007,14274,16121,15073,16100
SUN09_wdr-23_D14_1,222312,175157,164247,177775,181951,13664,12841,13093,13296,14037
SUN09_wdr-23_D14_2,187040,194633,147164,151821,128432,15457,14000,12276,13492,12331
SUN09_wdr-23_D14_3,214267,156748,235632,183736,200796,16380,14588,15322,14560,14992
SUN10_EV_D14_1,1534283,1590777,1439482,933666,1122072,16382,16654,17366,13249,15210
SUN10_EV_D14_2,1415817,1784939,1075965,1328458,1528012,18019,19350,18324,17777,19341
SUN10_EV_D14_3,1416467,1829561,1539287,1434864,1265420,16759,18386,16761,15901,17051
SUN10_gsk-3_D14_1,501002,439427,308417,475667,253216,16437,15951,12188,11198,10675
SUN10_gsk-3_D14_2,481852,121796,702063,536190,743852,14280,7813,15235,15626,15730
SUN10_gsk-3_D14_3,575756,1022055,285223,746938,281102,14397,18977,11980,15378,11363
SUN10_hif-1_D14_1,1257421,1161193,793917,1552996,1308687,14946,16313,13317,17400,16416
SUN10_hif-1_D14_2,953188,1372531,1068499,1068785,1531024,15410,17433,15920,14465,15980
SUN10_hif-1_D14_3,1521231,596413,1622584,1183184,1377607,16225,15853,17838,15424,15960
SUN10_pmk-1_D14_1,1125509,872473,673711,1273159,720035,15777,15227,14230,16006,14081
SUN10_pmk-1_D14_2,1013702,721416,1185152,1119941,598381,16941,14769,16760,14814,13059
SUN10_pmk-1_D14_3,684635,1300905,387430,876548,592053,13618,16879,13333,15635,13900
SUN10_rhy-1_D14_1,926134,766788,705253,798090,805593,16756,16422,14772,15165,16041
SUN10_rhy-1_D14_2,720768,759222,698458,604292,561087,16197,15779,16239,14875,15197
SUN10_rhy-1_D14_3,845201,624456,884424,894064,431447,18287,14321,16586,18840,13588
SUN10_skn-1_D14_1,962779,1178386,450285,1622240,1476878,15712,17759,12026,17699,18284
SUN10_skn-1_D14_2,853704,1563016,1348489,1242283,1407730,14647,17269,16832,15357,16191
SUN10_skn-1_D14_3,929004,1233143,1475814,1382779,1142801,15764,16660,17470,17061,16500
SUN10_vhl-1_D14_1,774277,691064,866645,873378,693629,15554,14503,16275,16815,14769
SUN10_vhl-1_D14_2,697013,993392,808839,739728,743031,14591,16320,16066,15835,15832
SUN10_vhl-1_D14_3,885705,620659,850532,854489,880266,16621,14889,16070,17217,16380
SUN10_wdr-23_D14_1,681961,700988,617197,777067,763885,13187,15889,14155,14835,12806
SUN10_wdr-23_D14_2,776789,677058,589437,430285,356702,15807,15554,14631,12380,14891
SUN10_wdr-23_D14_3,399121,547996,729240,591285,640354,13460,13993,14295,14296,13641
WS4274_EV_D14_1,372705,156553,34250,165145,146152,38884,15093,7352,15101,14035
WS4274_EV_D14_2,192522,144726,266590,181085,135380,15508,13414,14413,14377,12021
WS4274_EV_D14_3,126049,121449,121235,157387,156177,10546,10701,10544,11890,13240
WS4274_hif-1_D14_1,249014,119607,142492,101425,93458,15420,13224,12981,12007,10163
WS4274_hif-1_D14_2,29470,1143717,149083,134426,14227,8271,180447,16688,18410,3359
WS4274_hif-1_D14_3,147002,93018,136858,136379,141132,11278,10539,14824,11554,11103
WS4274_rhy-1_D14_1,154091,447056,131304,141806,153164,14630,23920,11925,14368,13699
WS4274_rhy-1_D14_2,128311,190929,153834,153307,159403,10300,16795,11165,12258,11269
WS4274_rhy-1_D14_3,295781,212005,196368,126721,119910,12877,17507,14199,11220,10471
WS4274_vhl-1_D14_1,111651,91432,105315,120806,126212,11975,12570,12205,12560,15486
WS4274_vhl-1_D14_2,133065,109238,86026,127206,105962,15997,11932,11739,12646,11550
WS4274_vhl-1_D14_3,102820,96644,99533,315050,0,12269,11150,11888,32952,0
